,id,countLiquidated,countLiquidator,hasBorrowed,health,totalBorrowValueInEth,totalCollateralValueInEth,tokens.0.symbol,tokens.1.symbol,tokens.2.symbol,tokens.3.symbol,tokens.4.symbol,tokens.5.symbol,tokens.6.symbol,tokens.7.symbol,tokens.8.symbol,tokens.9.symbol,tokens.10.symbol,tokens.11.symbol,tokens.12.symbol,tokens.13.symbol
2901,0x00997079af52aa88fed0422aed357e82c37eec5c,0,0,False,,0,0,cUSDT,,,,,,,,,,,,,
2902,0x009988ff77eeaa00051238ee32c48f10a174933e,0,0,False,,0,0.082533243177279797831405433,cETH,,,,,,,,,,,,,
2903,0x0099aaf971742ffa8d74235bbd2b36d10f1144af,0,0,False,,0,0.0008319091125460807863387853056,cUSDC,,,,,,,,,,,,,
2904,0x0099f95b4c078e15c373380b4498bdd76d764607,0,0,False,,0,0.0009056629811241216088733901312,cUSDC,,,,,,,,,,,,,
2905,0x009a42cc16f4a1a802124d04c9d59dbd972d707d,0,0,False,,0,0.007233510157076548045082177988,cUSDC,cETH,,,,,,,,,,,,
2906,0x009afd1f27ef64ceea0d74cad70b3c0618deb1bb,0,0,False,,0,0.0031611084491694073258359330024,cUSDC,cETH,,,,,,,,,,,,
2907,0x009b0aceb84a16d58b3fac7c06e91c6a6d49df90,0,0,False,,0,0,cUSDC,,,,,,,,,,,,,
2908,0x009b56330ae5ec5042b9ca46ddb3043cc0d006f3,0,6,True,0,0,0,cREP,cUSDC,cETH,cBAT,cZRX,cDAI,cUSDT,,,,,,,
2909,0x009b66c179e48e6fd0a218d49228b02e98f42d67,0,0,False,,0,0.014223995509865862990720855706158438071103488,cDAI,,,,,,,,,,,,,
2910,0x009b6817807c332b9445f5c9cf2ac94631fe876e,0,19,True,0,0,0,cREP,cUSDC,cETH,cDAI,cBAT,cZRX,cWBTC,cDAI,cUSDT,,,,,
2911,0x009b7846615f67bd7030d7f8e6266eaf730ef0a1,0,0,False,,0,0.0008329121502711463433425123584,cUSDC,,,,,,,,,,,,,
2912,0x009be753c4276ef49feb175dc7b3947b53b7ee6b,0,0,False,,0,0.0008310810320493861747311823744,cUSDC,,,,,,,,,,,,,
2913,0x009c07cc41a358176c97b525284d50f4960bc939,0,0,False,,0,0,cUSDC,cETH,cDAI,cDAI,,,,,,,,,,
2914,0x009c197e3d66ed55dc48013aa6e9167ce1541162,0,0,False,,0,0,cCOMP,,,,,,,,,,,,,
2915,0x009c2757e86fe2e07e249b2f5ecfc55e2529650f,0,0,False,,0,0.0008280499016739515931133393536,cUSDC,,,,,,,,,,,,,
2916,0x009c49e71e95bdb51916cfd968f32d39039979cc,0,0,False,,0,0.00843845577487572318379281,cETH,,,,,,,,,,,,,
2917,0x009c4dfbf781e4751944aced196efe26cddf6c84,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
2918,0x009c6ad64c3c8a6a1c0b7e3690966462cf078748,0,0,False,,0,0.00083295447952415614254695808,cUSDC,,,,,,,,,,,,,
2919,0x009cd653e5d3a535f750a038ba3aea87acba8202,0,0,False,,0,0.000832949453358651358614182976,cUSDC,,,,,,,,,,,,,
2920,0x009ce71e1c6082a43871495e9c57730739251ef2,0,0,False,,0,0.0008317023595022373492987535104,cUSDC,,,,,,,,,,,,,
2921,0x009d06cc6b11fa75412c3cda6da63813bbbdafaf,0,0,True,5.333050264492396491378048e-7,0,5.333050264492396491378048e-7,cUSDC,cDAI,,,,,,,,,,,,
2922,0x009d2ff28e891f572e614c75b4a89f38599c7d1d,0,0,False,,0,0.0008312311309889891591823898368,cUSDC,,,,,,,,,,,,,
2923,0x009d6b55594b464131f241ef85184dc4bbfcaa9e,0,0,False,,0,0.0008282975421224953954095352704,cUSDC,,,,,,,,,,,,,
2924,0x009d91a33e0ab291cf9fbcec354bb74f01b6cff5,0,0,False,,0,0.028040754038894988204921165960456082830464512,cDAI,cUSDT,,,,,,,,,,,,
2925,0x009d939ee8946f9906bbd7587969127a4bfe05c5,0,0,True,0,0,0,cDAI,,,,,,,,,,,,,
2926,0x009d9f792cd02ca26f99bc602864f275c62c391c,0,0,False,,0,0,cUSDT,,,,,,,,,,,,,
2927,0x009db4bdfdc66f0c6c947b10df58337e76a227dd,0,0,False,,0,0,cETH,,,,,,,,,,,,,
2928,0x009dbff7ba1fe691f39142b5f6284cc01c3ea5e8,0,0,True,1.38978718522576300408,0.000357253983210252056774950877998978,0.000496507007736468201593669518278991707015424,cDAI,,,,,,,,,,,,,
2929,0x009e0169d76bbdac60d3aa94dee4e98dea581f0e,0,0,False,,0,0.0008283147367815203850001997568,cUSDC,,,,,,,,,,,,,
2930,0x009e02b21abefc7ecc1f2b11700b49106d7d552b,0,0,False,,0,0,cDAI,cBAT,cUSDT,,,,,,,,,,,
2931,0x009e0f303bb7daaf90c4ead2729a13a06146cb32,0,0,False,,0,0,cETH,cCOMP,cWBTC,,,,,,,,,,,
2932,0x009e271067b5e459ea51c4f0a92b1ac95bbd4dcb,0,0,False,,0,0.0008282674808211136771026767232,cUSDC,,,,,,,,,,,,,
2933,0x009e28252bae35a4c145d83fa86089011a4d83fc,0,0,False,,0,0.0008312757492497538740365666944,cUSDC,,,,,,,,,,,,,
2934,0x009ec39e88f180c121a968e4368329d7db3ddc1a,0,0,False,,0,0.0008329396968125235546271659648,cUSDC,,,,,,,,,,,,,
