,id,date,dailyVolumeETH,dailyVolumeUSD,dailyVolumeUntracked,totalVolumeUSD,totalLiquidityUSD,mostLiquidTokens,txCount
90,18479,1596585600,161447.4983380281,63357952.69160543,88287625.07103755,0,187698717.95549592,[],2276420
91,18480,1596672000,170657.821475391,67398943.07465476,90189438.18070872,0,192848785.20801467,[],2347999
92,18481,1596758400,273113.71335197974,104808969.29240032,135886057.171549,0,199910842.95531,[],2439424
93,18482,1596844800,271365.2704766446,104331084.22959012,138190702.8863603,0,214765081.2403908,[],2539025
94,18483,1596931200,302155.82852115354,117812450.48802675,164639179.86793217,0,221720086.51206708,[],2656671
95,18484,1597017600,480044.8588888156,193357472.47451836,246319112.78087527,0,228329167.1021987,[],2780464
96,18485,1597104000,381906.0805514362,146898572.53358725,186388529.00183913,0,234843106.61060056,[],2896228
97,18486,1597190400,627311.9561690827,238234901.29140693,296853360.07851267,0,291950348.1074753,[],3018048
98,18487,1597276800,626504.459129646,245038626.33164433,285006899.4467884,0,275424161.20359594,[],3125821
99,18488,1597363200,398169.0557480346,170342877.03730473,222384818.66890988,0,266207197.28397024,[],3231829
100,18489,1597449600,342738.5914205252,149100194.9363764,189804955.18540648,0,271542457.85433495,[],3331681
101,18490,1597536000,357441.1578626304,152527582.69462883,191113072.48502475,0,273377195.886548,[],3448746
102,18491,1597622400,381498.498002183,164134108.594953,199305866.3562194,0,272635035.58570874,[],3558206
103,18492,1597708800,489219.56766958296,208431565.0574648,257015720.35226685,0,295587149.8223939,[],3689916
104,18493,1597795200,473172.0251447909,193692626.482759,227693775.79934788,0,307269112.7967763,[],3801308
105,18494,1597881600,490467.8167097448,201266205.93792364,247581135.60507727,0,298284850.42094105,[],3925423
106,18495,1597968000,552579.9625518023,223719947.5829093,277430708.7816459,0,270385459.6588152,[],4053003
107,18496,1598054400,355431.2975372435,138001432.88509196,185571017.82412428,0,286499943.78913313,[],4168155
108,18497,1598140800,317856.437710157,123940422.65338784,172924789.27032977,0,288331462.6065028,[],4294035
109,18498,1598227200,417411.6346320242,166662454.2305592,215572478.99935827,0,303055932.0335492,[],4430850
110,18499,1598313600,420661.511824797,163349457.12909713,208005244.28215095,0,290831042.79927164,[],4552481
111,18500,1598400000,465685.39342141856,179149552.27571467,218174957.1107,0,307997536.245366,[],4680036
112,18501,1598486400,370121.9580855729,141164818.5737461,181854022.7735478,0,307608887.6103324,[],4796249
113,18502,1598572800,531236.5178424794,207807264.4129975,247910221.6196668,0,520438147.8161752,[],4923021
114,18503,1598659200,752282.2731895926,299746454.11157066,342298052.44821465,0,636450250.1474628,[],5072000
115,18504,1598745600,1226114.0037440178,502833582.42746645,559373965.2235221,0,937243780.0935085,[],5253176
116,18505,1598832000,1362100.4057626568,585359604.5211177,637090102.6755352,0,1372699891.1977737,[],5431213
117,18506,1598918400,2058122.3289916208,953587764.8661315,1018688365.3444616,0,1951875081.122476,[],5617769
118,18507,1599004800,2057491.4338383607,934740761.1109587,1026058955.1117748,0,1916371778.0097947,[],5810061
119,18508,1599091200,2054680.0853070975,859738318.0475495,939594900.0628992,0,1782857778.598692,[],5997105
120,18509,1599177600,1510314.7235003856,581979884.60988,633009218.0271456,0,1960374158.728608,[],6151651
121,18510,1599264000,2354858.429802854,829799711.3839526,878733348.274216,0,1239325978.5972047,[],6307105
122,18511,1599350400,1847539.0343103677,631079294.2297382,6528876166.244944,0,1619656305.2593887,[],6454448
123,18512,1599436800,1286117.4539364057,439468429.8317833,482056176.1618308,0,1719625560.05476,[],6591029
124,18513,1599523200,1120049.8143668529,379227867.89253485,2641575892.790001,0,1570234423.74629,[],6724678
125,18514,1599609600,1245396.2252370715,428506946.8284904,466995941.984724,0,518148235.20245326,[],6860318
126,18515,1599696000,1126561.9473784023,409466421.8579634,459255812.96501255,0,1070554797.8447756,[],7002771
127,18516,1599782400,865124.7761993363,313101833.8964041,360870075.2032658,0,754425203.5735847,[],7140751
128,18517,1599868800,825438.9004597581,306357022.34116316,351213995.733246,0,702141892.7784382,[],7292158
129,18518,1599955200,1097688.0592355859,405845173.33869547,467188298.7329348,0,1054600411.7217116,[],7439968
130,18519,1600041600,1271267.9940270176,468278241.60442525,527962909.9516313,0,1120351107.1470785,[],7601404
131,18520,1600128000,1074717.3291425293,396960687.95199794,454140566.47523695,0,951963235.8615502,[],7767082
