,buyer,seller,price,timestamp
70,0x3873ae2cdcd5f92d6a7b28fd67c5aeb6b5cde5ec,0x7caa3581bda936542e719f62139340a76e8e9283,32500000000000000000000,1578711470
71,0x3873ae2cdcd5f92d6a7b28fd67c5aeb6b5cde5ec,0x7caa3581bda936542e719f62139340a76e8e9283,32000000000000000000000,1578711548
72,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x779ddb91a65cdd2a0f53e188783bef234125c5bb,11000000000000000000000,1578722951
73,0xa3cd75d018eda9e269dd518805a1c4a2cd03c610,0x84020f699435f187f100343e32f82ece0447cd7e,15500000000000000000000,1578723132
74,0xa3cd75d018eda9e269dd518805a1c4a2cd03c610,0x87e225ee673dedb378ee378d758b941dbd79b6af,18500000000000000000000,1578723251
75,0x7103a727dd976fcb389921ceb148d2ea03e484b6,0xccd5089557ae6a2ba063e8720e725a6bf743b3e8,40000000000000000000000,1578725095
76,0xa3cd75d018eda9e269dd518805a1c4a2cd03c610,0x80658e3657882cfa73fff0eb20c92aa5e948230c,350000000000000000000000,1578727385
77,0x73f5a28928fde8db33b0ae9bbb465b7e5c397ff0,0x7103a727dd976fcb389921ceb148d2ea03e484b6,12777000000000000000000,1578728879
78,0xcc3d67f5e36f552f8aad08be25e331555890a747,0x1cae12583f2798e022e5f358233d1e250bea2263,11200000000000000000000,1578733619
79,0xa3cd75d018eda9e269dd518805a1c4a2cd03c610,0xdc17a1a5c695852e49981c1502ff8f7cf9c94b77,111000000000000000000000,1578800720
80,0x69817aa833851d8a56ee245ecdc8b56898bef6f8,0x8445165437cb63affb2f143378d0ec63e0249582,23000000000000000000000,1578826766
81,0x75e1d32289679dfcb2f01fbc0e043b3d7f9cd443,0x63340bd3361b1da9ca14d8c79115ed9a5a34102f,172000000000000000000000,1578933184
82,0x75e1d32289679dfcb2f01fbc0e043b3d7f9cd443,0x361c01a96986d5b4303f89f9d5d038ea0e211ec8,66666000000000000000000,1578933193
83,0x75e1d32289679dfcb2f01fbc0e043b3d7f9cd443,0xca9cbd376488dd77187e99864ba7ce1ff670cb69,30000000000000000000000,1578933332
84,0x80faae3e25e96d1673168d061fcd8ed0e1a0b9f7,0x7103a727dd976fcb389921ceb148d2ea03e484b6,27890000000000000000000,1578934986
85,0xd2a0d0566c12acef908aa3a232c27324b68f296c,0x2968a9e909946c79c9d9967dc05d22548d06efef,23500000000000000000000,1578948335
86,0x75e1d32289679dfcb2f01fbc0e043b3d7f9cd443,0x09217b071268aa902f7287f78b16fe84cccbbc43,30000000000000000000000,1578960777
87,0x1683116fe2a64d89c1fa1a65448a468086b87f9a,0x823e3844308e0ab6d9fd12788a1183562110cdc4,1000000000000000000,1578966162
88,0xf74fbcb51bb42bfb3524d76a48e8c123067eb3a2,0x27ddbef68c8c7734d1087358de3fae220c850b99,13950000000000000000000,1578981592
89,0xf98ef509679b367270b5256f65d780295e446a16,0x6ed8cd17ee5453e17eb731a6b2004af53ea1f26a,30000000000000000000000,1579036267
90,0xf98ef509679b367270b5256f65d780295e446a16,0x6ed8cd17ee5453e17eb731a6b2004af53ea1f26a,32000000000000000000000,1579042304
91,0x02e4a4f5d88999228c87f4f7b73fb48f9b1656b1,0xce1708823ba25d937a88bca2ccc645ade2e90297,11000000000000000000000,1579071595
92,0x02e4a4f5d88999228c87f4f7b73fb48f9b1656b1,0x7533c4c1d881aaa75d4b039325866b2f8b8c5ec9,8000000000000000000000,1579101925
93,0x4a1740250449a4cc1d0528ac071459dcbe1c44ff,0x83b7b6f360a9895d163ea797d9b939b9173b292a,12900000000000000000000,1579107976
94,0xb3a422a68cec22435ed002caab4d0d2eb6cce28c,0x792ff2aedadd23b751deca8918dcff54b6b6d094,20000000000000000000000,1579110758
95,0x1f4575d2c29cfab741f516001dcf80aba3d17f37,0xccd5089557ae6a2ba063e8720e725a6bf743b3e8,75000000000000000000000,1579112420
96,0x1f4575d2c29cfab741f516001dcf80aba3d17f37,0x83b7b6f360a9895d163ea797d9b939b9173b292a,17500000000000000000000,1579112565
97,0x83b7b6f360a9895d163ea797d9b939b9173b292a,0xf98ef509679b367270b5256f65d780295e446a16,12000000000000000000000,1579112965
98,0x83b7b6f360a9895d163ea797d9b939b9173b292a,0xd5af7f7e0041b5a6cf01634139cd324d75d10ad1,15000000000000000000000,1579112965
99,0x1b8c30e8e38a6a159d7930e50a8949e46fe92086,0x0fc5b631fc452073dc5646f1a5cef6c7c4360511,12000000000000000000000,1579113948
100,0xb52e2dbf7f59ada1f56360ab662041748650ae06,0x1e44dfde9146e296b1304bfce644ba0417ce5bfe,80000000000000000000000,1579118626
101,0x58f9bbf843e8cdcf71b5f412a782b847963d4e28,0xe0c9bf0770858fdb28ca6804a88c5337133a27ec,13500000000000000000000,1579122242
102,0xb3a422a68cec22435ed002caab4d0d2eb6cce28c,0x792ff2aedadd23b751deca8918dcff54b6b6d094,20000000000000000000000,1579122469
103,0xd299ae77bb566377585982544dc11b721efe3c1a,0x3cd673f4b8e7815f4862222ef0786241f952aeae,14499000000000000000000,1579123565
104,0xdc0d28f3d09b292d41b836db991b157d641ad64f,0x1cae12583f2798e022e5f358233d1e250bea2263,11500000000000000000000,1579148917
105,0x878440d5c29e6481a4b85c7d1404a8e9f67a2e74,0xe2b6024873d218b2e83b462d3658d8d7c3f55a18,14999000000000000000000,1579154809
106,0xd9217dd9fc959f0414000129d119e8f1d577422d,0x2758c367a2d8f4b86a6be03893ab1d99cb8ac1c7,17888000000000000000000,1579155210
107,0x8627135cb4d662bf3a79803f86f27ec013e08cfc,0xf293dfe0ac79c2536b9426957ac8898d6c743717,18000000000000000000000,1579207866
108,0x139f3ccafb1a5cfae4a8d68d3587a2bc1b75db8f,0x1e6d8d1a6076916d38b120740308d07c01cdb2c7,17000000000000000000000,1579212668
109,0x2a16a37f09a0d59094820364afcc3fab63c83105,0xbad3ec8d6f8ca597058b5967945a01ff61fe7990,11900000000000000000000,1579214288
110,0x77cb56cf6af00d9541f54d9556c3f7344ca9c82c,0x147597e4c80e3b1e2ad10f6657570c9497dd9f8d,13497000000000000000000,1579217991
111,0x51163a4eb905f0c147bad85ba5ecebfc88f29e04,0x02e4a4f5d88999228c87f4f7b73fb48f9b1656b1,12345000000000000000000,1579232044
112,0x565712c362a0d44b962e545e7794345140387cde,0x5158009af2bead2d80dc9c553bcc0aeddd57085a,50000000000000000000000,1579272677
113,0x3873ae2cdcd5f92d6a7b28fd67c5aeb6b5cde5ec,0x7caa3581bda936542e719f62139340a76e8e9283,55000000000000000000000,1579272720
114,0x3873ae2cdcd5f92d6a7b28fd67c5aeb6b5cde5ec,0x7caa3581bda936542e719f62139340a76e8e9283,55000000000000000000000,1579272782
115,0xf98ef509679b367270b5256f65d780295e446a16,0x5158009af2bead2d80dc9c553bcc0aeddd57085a,10000000000000000000000,1579273081
116,0x0cf6cdb4d406179f12a15797869ac6bd941c2535,0x5158009af2bead2d80dc9c553bcc0aeddd57085a,11111000000000000000000,1579273147
117,0xfecfc697e46fa586936afbf6808f1d202200a79b,0xf98ef509679b367270b5256f65d780295e446a16,13650000000000000000000,1579282841
118,0x673301ff483d10370e43962e0cee40e254eb2f8a,0x0c43026e1ba6353772d9ac306d877bd7927cc928,48500000000000000000000,1579282985
119,0x02e4a4f5d88999228c87f4f7b73fb48f9b1656b1,0xbad3ec8d6f8ca597058b5967945a01ff61fe7990,22000000000000000000000,1579283324
120,0x1b4f6ad9f97f02637e4b9677b957acde7fb2fbd2,0x35cdf4e48f994b1fba10f882e0051b3545ff17d6,20000000000000000000000,1579290933
121,0x1f4575d2c29cfab741f516001dcf80aba3d17f37,0x0cf6cdb4d406179f12a15797869ac6bd941c2535,71500000000000000000000,1579301794
122,0x9f3d842b08f83a85b3ce5cf31fb5635a6e133f0c,0xf1540c49a9932600bd49e940f62e7daebfae1b45,18000000000000000000000,1579329975
123,0xc3cc0eea916b36e0498e61b03c357b61b3b428d9,0xc36f2ba982293fa3b5c8f11ce5ec1113b6e1fa77,78000000000000000000000,1579350357
124,0xc3cc0eea916b36e0498e61b03c357b61b3b428d9,0xac097c7e31a2add6244a0f36dba5776d04f5a3fc,77777000000000000000000,1579350552
125,0xc3cc0eea916b36e0498e61b03c357b61b3b428d9,0xee8eeec3e7a5ad82827480a9e00d01b1ec0a9f3b,55000000000000000000000,1579352242
126,0xc3cc0eea916b36e0498e61b03c357b61b3b428d9,0xbd8ae690023218b5d619f96afbbbdd99a791daa7,50000000000000000000000,1579352242
127,0x0553de51e7fa7658f0517e573d79eebbb59852f2,0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92,33000000000000000000000,1579355432
128,0x0d0b5d097d05c68db0c9b6730bcef07110f2eb96,0x80faae3e25e96d1673168d061fcd8ed0e1a0b9f7,15000000000000000000000,1579364880
129,0xf98ef509679b367270b5256f65d780295e446a16,0x9686b715c13a005c20ecc30b0bbc3e15e4203ac0,62000000000000000000000,1579373514
130,0x2b499ea6bc7a2a6b25d2c46d9f89358cd3d1bc82,0xf98ef509679b367270b5256f65d780295e446a16,18990000000000000000000,1579378439
131,0x878440d5c29e6481a4b85c7d1404a8e9f67a2e74,0xd5af7f7e0041b5a6cf01634139cd324d75d10ad1,16000000000000000000000,1579379639
132,0x878440d5c29e6481a4b85c7d1404a8e9f67a2e74,0xd5af7f7e0041b5a6cf01634139cd324d75d10ad1,16000000000000000000000,1579379639
133,0x38b2739bcb869494cc7953c79c97e3bcad7eac04,0xf98ef509679b367270b5256f65d780295e446a16,20000000000000000000000,1579384267
134,0xf293dfe0ac79c2536b9426957ac8898d6c743717,0x99a811e5c62add613975456292f836115aea0164,23500000000000000000000,1579385921
135,0x3a49309413793b32f6a308769220147fedbffa5f,0xf98ef509679b367270b5256f65d780295e446a16,18900000000000000000000,1579386006
136,0xf547db5bd3bf4cd3b9b1ffd630d6cc703f80f2e4,0x99a811e5c62add613975456292f836115aea0164,30000000000000000000000,1579393129
137,0xb9246b57fdd87d3516a8614d9f6227db0a630bd9,0xccd5089557ae6a2ba063e8720e725a6bf743b3e8,25000000000000000000000,1579431548
138,0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92,0x726a89aedfa0ce8674e8a91adc872d52e523138e,35000000000000000000000,1579431643
139,0xf98ef509679b367270b5256f65d780295e446a16,0x726a89aedfa0ce8674e8a91adc872d52e523138e,20000000000000000000000,1579436027
140,0x4fc53fa856a6a353aeaae7e1395949863026ef82,0x9edf7cf495a01f7384e0e18a94871b1906075b2c,155000000000000000000000,1579444518
141,0x72030c00021547f26ee6211dfed32988297ca318,0x99ec37c145060fe7ee9e346c3d40cb7fd28ed80f,12000000000000000000000,1579459899
142,0xd5254db8af220398975f25f0780205fca00abff4,0xea484e64cc146bd006d579df72748fddc061ea6c,40400000000000000000000,1579505646
143,0xea484e64cc146bd006d579df72748fddc061ea6c,0x7caa3581bda936542e719f62139340a76e8e9283,34500000000000000000000,1579505808
144,0x43f3d8909819b681adb64c50ebcaeb77689a101b,0x147597e4c80e3b1e2ad10f6657570c9497dd9f8d,12997000000000000000000,1579520947
145,0xfec33a90737254dcf9aa33188a11f32797197f93,0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92,46000000000000000000000,1579521160
146,0xa9ac72e3bbd107ec40546fc1c68c5e40fc7a9dd9,0x99a811e5c62add613975456292f836115aea0164,27000000000000000000000,1579521326
147,0x83b7b6f360a9895d163ea797d9b939b9173b292a,0xe1170f2e794867e1f334dd6aead6ceb0d6ba5b90,26000000000000000000000,1579528947
148,0x83b7b6f360a9895d163ea797d9b939b9173b292a,0xe1170f2e794867e1f334dd6aead6ceb0d6ba5b90,26000000000000000000000,1579529015
149,0x8445165437cb63affb2f143378d0ec63e0249582,0x94507dcd0dca63fc279406c7b37b3735608d141e,22000000000000000000000,1579550347
150,0x3a49309413793b32f6a308769220147fedbffa5f,0xf98ef509679b367270b5256f65d780295e446a16,16990000000000000000000,1579562018
151,0x8445165437cb63affb2f143378d0ec63e0249582,0xe1170f2e794867e1f334dd6aead6ceb0d6ba5b90,20000000000000000000000,1579566702
152,0x8a450f10ee471c20ac94cd23ff1b4e293915db34,0xbc02db030361121dd43bbb2fcbcb4f9f98c1dc7d,14500000000000000000000,1579569824
153,0x1e6d8d1a6076916d38b120740308d07c01cdb2c7,0x8a450f10ee471c20ac94cd23ff1b4e293915db34,16000000000000000000000,1579576967
154,0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,0x02e4a4f5d88999228c87f4f7b73fb48f9b1656b1,12200000000000000000000,1579583049
155,0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,0x02e4a4f5d88999228c87f4f7b73fb48f9b1656b1,12345000000000000000000,1579583075
156,0x89f1e49e667f711c5cb64d064d9a72f5e3e42e52,0xc36f2ba982293fa3b5c8f11ce5ec1113b6e1fa77,148000000000000000000000,1579587825
157,0x9f7f7b4f93a3465a766448b6c756e9b41c0fa172,0x83b7b6f360a9895d163ea797d9b939b9173b292a,15500000000000000000000,1579588307
